stockRef,shape,color,clarity,lab,certiNo,treatment,weight,pricePerCts,discPerc,country,measurements,depthPerc,tablePerc,crownAngle,crownHeight,pavalionAngle,pavalionDepth,girdle,girdleThin,girdlePerc,girdleCondition,culetSize,culetCondition,polish,symmetry,fluorescenceIntensity,fluorescenceColor,fancyColor,fancyIntensity,fancyOvertone,pairStockRef,isMatchedPairSeparable,cutGrade,length,width,height,videoLink,certComment,keyToSymbols,certIssueDate,starLength,webLink,laserInscription,shade,Rap Price,lowerHalf,memberComment,blackcrown,blacktable,eyeclean,whitecrown,whitetable,handa,availability,cashDiscPrice,milky,enhancements,city,origin,cashDiscPerc,blackinclusion,identificationMarks,state,forTradeShow,CertiWebLink,LastCustomer,StoneLocation,CostPerCts,NotForWeb,T2A,Ratio,DeptCode,Stock Status
NS19D,PSB,M,VVS1,GIA,2517181533,,0.50000,715.00000,-45.00000,HONG KONG,7.16x4.53x2.61,57.50,62.00,0.00,0.00,0.00,0.00,STK to VTK,,0.00,Faceted,None,None,EX,EX,None,,,,,,,,7.16,4.53,2.61,,,Feather,14/01/2025 12:00:00 AM,0.00,,Y,,1300.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2517181533,,HONG KONG,1300.00000,False,,1.581,,A
NS35C,EM,H,VVS2,GIA,7518179910,,0.31000,870.00000,-42.00000,HONG KONG,4.87x3.33x2.00,60.10,65.00,0.00,0.00,0.00,0.00,STK,,0.00,Polished,None,None,EX,EX,None,,,,,,,,4.87,3.33,2.00,,,Feather,15/01/2025 12:00:00 AM,0.00,,Y,,1500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7518179910,SIM GEMS USA INC,USA,1500.00000,False,,1.462,,M
SRVD114D,PSB,D,VVS1,GIA,7511172545,,0.42000,1404.00000,-46.00000,HONG KONG,7.08x4.15x2.38,57.40,62.00,0.00,0.00,0.00,0.00,STK to ETK,Medium,0.00,Faceted,None,None,EX,EX,None,,,,,,,,7.08,4.15,2.38,,,Feather,14/01/2025 12:00:00 AM,0.00,,Y,,2600.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7511172545,SIM GEMS USA INC,USA,2600.00000,False,,1.706,,M
SRVD86J,PSB,I,IF,GIA,2517181063,,0.31000,750.00000,-50.00000,HONG KONG,6.27x3.72x2.32,62.30,60.00,0.00,0.00,0.00,0.00,STK,,0.00,Faceted,None,None,EX,EX,Strong,Blue,,,,,,,6.27,3.72,2.32,,,Minor Details Of Polish,14/01/2025 12:00:00 AM,0.00,,Y,,1500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2517181063,,HONG KONG,1500.00000,False,,1.685,,A
SS43D,PSB,D,SI1,GIA,2516181485,,0.40000,990.00000,-45.00000,HONG KONG,6.87x4.20x2.40,57.00,63.00,0.00,0.00,0.00,0.00,STK to ETK,Medium,0.00,Faceted,None,None,EX,EX,None,,,,,,,,6.87,4.20,2.40,,,Feather,14/01/2025 12:00:00 AM,0.00,,Y,,1800.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2516181485,,HONG KONG,1800.00000,False,,1.636,,A
SSR17B,PSB,K,VS2,GIA,2514181452,,0.30000,522.00000,-42.00000,HONG KONG,6.00x3.86x2.18,56.50,62.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Faceted,None,None,EX,EX,None,,,,,,,,6.00,3.86,2.18,,,Feather,14/01/2025 12:00:00 AM,0.00,,Y,,900.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2514181452,,HONG KONG,900.00000,False,,1.554,,A
UCL275D,PSB,D,VVS1,GIA,6512172259,,0.29000,1115.73000,-30.70000,HONG KONG,6.38x3.77x2.08,55.10,64.00,0.00,0.00,0.00,0.00,STK,,0.00,Faceted,None,None,EX,VG,None,,,,,,,,6.38,3.77,2.08,,,Pinpoint,14/01/2025 12:00:00 AM,0.00,,Y,,1610.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6512172259,,HONG KONG,1610.00000,False,,1.692,,A
UCL278Q,OVB,E,VS2,GIA,2517172528,,0.40000,1083.00000,-43.00000,HONG KONG,6.01x3.99x2.51,62.90,56.00,0.00,0.00,0.00,0.00,STK to VTK,,0.00,Faceted,None,None,EX,EX,None,,,,,,,,6.01,3.99,2.51,,,"Crystal, Needle",14/01/2025 12:00:00 AM,0.00,,Y,,1900.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2517172528,,HONG KONG,1900.00000,False,,1.506,,A
UCL289E,PSB,D,IF,GIA,6512181504,,0.40000,1479.00000,-49.00000,HONG KONG,7.03x4.04x2.26,56.00,63.00,0.00,0.00,0.00,0.00,STK,,0.00,Faceted,None,None,EX,EX,None,,,,,,,,7.03,4.04,2.26,,,Minor Details Of Polish,14/01/2025 12:00:00 AM,0.00,,Y,,2900.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6512181504,SIM GEMS USA INC,USA,2900.00000,False,,1.740,,M
UCL338B,PSB,K,VS2,GIA,2517201520,,0.40000,671.00000,-39.00000,HONG KONG,6.64x4.21x2.41,57.20,61.00,0.00,0.00,0.00,0.00,STK,,0.00,Faceted,None,None,EX,EX,Faint,,,,,,,,6.64,4.21,2.41,,,Feather,14/01/2025 12:00:00 AM,0.00,,Y,,1100.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2517201520,,HONG KONG,1100.00000,False,,1.577,,A
UCL346D,PSB,L,VVS1,GIA,1517172146,,0.35000,558.00000,-38.00000,HONG KONG,6.70x3.95x2.24,56.80,58.00,0.00,0.00,0.00,0.00,STK to ETK,Medium,0.00,Faceted,None,None,EX,EX,None,,,,,,,,6.70,3.95,2.24,,,Feather,14/01/2025 12:00:00 AM,0.00,,Y,,900.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1517172146,,HONG KONG,900.00000,False,,1.696,,A
UCL487D,PSB,H,VVS1,GIA,1513171944,,0.38000,944.00000,-41.00000,HONG KONG,6.83x3.95x2.27,57.40,60.00,0.00,0.00,0.00,0.00,STK to ETK,Medium,0.00,Faceted,None,None,EX,EX,Faint,,,,,,,,6.83,3.95,2.27,,,Feather,14/01/2025 12:00:00 AM,0.00,,Y,,1600.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1513171944,,HONG KONG,1600.00000,False,,1.729,,A
UCL487H,PSB,G,VVS1,GIA,6511180294,,0.31000,1054.00000,-38.00000,HONG KONG,6.04x3.83x2.24,58.50,62.00,0.00,0.00,0.00,0.00,MED to VTK,Medium,0.00,Faceted,None,None,EX,EX,Faint,,,,,,,,6.04,3.83,2.24,,,Feather,14/01/2025 12:00:00 AM,0.00,,Y,,1700.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6511180294,,HONG KONG,1700.00000,False,,1.577,,A
UCL522M,OVB,L,IF,GIA,1515181301,,0.32000,600.00000,-40.00000,HONG KONG,5.97x3.91x2.20,56.40,62.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Faceted,None,None,EX,VG,None,,,,,,,,5.97,3.91,2.20,,,Minor Details Of Polish,14/01/2025 12:00:00 AM,0.00,,Y,Faint Brown,1000.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1515181301,,HONG KONG,1000.00000,False,,1.527,,A
UCL574D,PSB,F,VVS1,GIA,6515188472,,0.60000,1508.00000,-42.00000,HONG KONG,7.90x4.68x2.72,58.10,62.00,0.00,0.00,0.00,0.00,MED to VTK,Medium,0.00,Faceted,None,None,EX,EX,None,,,,,,,,7.90,4.68,2.72,,,Feather,17/01/2025 12:00:00 AM,0.00,,Y,,2600.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6515188472,ZEAL ZEST,HONG KONG,2600.00000,False,,1.688,,M
UCLR1G,PSB,G,VVS1,GIA,2516180995,,0.40000,1155.00000,-45.00000,HONG KONG,6.68x3.91x2.58,65.90,61.00,0.00,0.00,0.00,0.00,STK to ETK,Medium,0.00,Faceted,None,None,EX,EX,None,,,,,,,,6.68,3.91,2.58,,,Feather,14/01/2025 12:00:00 AM,0.00,,Y,,2100.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2516180995,,HONG KONG,2100.00000,False,,1.708,,A
JBPD467B,,,VVS2,GIA,5516179454,,0.55000,1188.00000,0.00000,HONG KONG,0-0*0,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,13/01/2025 12:00:00 AM,,,N,,0.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=5516179454,,HONG KONG,0.00000,False,,0.000,,A
VS3364,RD,L,IF,GIA,2231477062,,11.03000,16038.00000,-40.60000,HONG KONG,14.29-14.36x8.71,60.80,59.00,35.00,14.50,40.80,43.00,MED to THK,Medium,3.50,Faceted,None,None,EX,EX,Medium,Blue,,,,,,EX,14.36,14.29,8.71,http://image.simgems.com/images/VS3364,Minor details of polish are not shown.,,10/01/2025 12:00:00 AM,50.00,VS3364,Y,None,27000.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT0,EC0,WC0,WT0,NO,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2231477062,SIM GEMS DMCC,U.A.E,13500.00000,False,,1.005,,M
NS60A,RD,I,VS1,GIA,5516240283,,5.15000,18087.30000,-37.63000,HONG KONG,11.15-11.18x6.74,60.30,59.00,32.50,13.00,41.00,43.50,STK,,4.00,Faceted,None,None,EX,EX,None,,,,,,,EX,11.18,11.15,6.74,http://image.simgems.com/images/NS60A,Clouds are not shown.,"Crystal, Needle",24/01/2025 12:00:00 AM,50.00,NS60A,Y,None,29000.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT1,EC0,WC1,WT2,EX,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=5516240283,HMV GLOBAL LIMITED,HONG KONG,29000.00000,False,,1.003,,M
SDF02C,PSM,K,SI2,GIA,2514312208,,0.50000,572.00000,-48.00000,HONG KONG,6.91x4.08x2.56,62.90,62.00,0.00,0.00,0.00,0.00,ETK,,0.00,Faceted,None,None,EX,VG,None,,,,,,,,6.91,4.08,2.56,,,Feather,29/01/2025 12:00:00 AM,0.00,,Y,None,1100.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC2,WT0,NA,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2514312208,,HONG KONG,1100.00000,False,,1.694,,A
NS61B,RAD,J,VVS1,GIA,7518255545,,5.01000,10929.60000,-52.48000,HONG KONG,10.56x8.80x5.96,67.70,72.00,0.00,0.00,0.00,0.00,THK,,0.00,Polished,None,None,EX,EX,None,,,,,,,,10.56,8.80,5.96,http://image.simgems.com/images/NS61B,,"Needle, Feather",24/01/2025 12:00:00 AM,0.00,NS61B,Y,None,23000.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT0,EC0,WC1,WT0,NA,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7518255545,SIM GEMS USA INC,USA,23000.00000,False,,1.200,,M
NS60B,CB,H,VS2,GIA,1517255560,,4.02000,13959.00000,-40.60000,HONG KONG,11.15x8.90x5.59,62.80,66.00,0.00,0.00,0.00,0.00,STK to VTK,,0.00,Faceted,None,None,EX,EX,None,,,,,,,,11.15,8.90,5.59,http://image.simgems.com/images/NS60B,Clouds are not shown. Pinpoints are not shown.,"Crystal, Feather, Needle",24/01/2025 12:00:00 AM,0.00,NS60B,Y,None,23500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT1,EC0,WC1,WT1,NA,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1517255560,SIM GEMS USA INC,USA,23500.00000,False,,1.253,,M
NS61A,EM,J,VS1,GIA,1513321487,,5.02000,11880.00000,-40.60000,HONG KONG,11.42x8.16x5.47,67.00,66.00,0.00,0.00,0.00,0.00,STK to VTK,,0.00,Polished,None,None,EX,EX,None,,,,,,,,11.42,8.16,5.47,http://image.simgems.com/images/NS61A,Pinpoints are not shown.,"Crystal, Needle",31/01/2025 12:00:00 AM,0.00,NS61A,Y,None,20000.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC2,BT0,EC0,WC1,WT0,NA,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1513321487,SIM GEMS USA INC,USA,20000.00000,False,,1.400,,M
B2411EX-02F,EM,D,VS2,GIA,7516180717,,5.01000,26680.50000,-45.55000,HONG KONG,11.61x8.32x5.24,63.00,66.00,0.00,0.00,0.00,0.00,VTK,,0.00,Polished,None,None,EX,EX,None,,,,,,,,11.61,8.32,5.24,,Pinpoints are not shown.,"Crystal, Needle",14/01/2025 12:00:00 AM,0.00,,Y,,49000.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7516180717,SIM GEMS USA INC,USA,49000.00000,False,,1.395,,M
JBPD494A,CMB,F P,VS2,GIA,6234370864,,2.07000,198000.00000,0.00000,HONG KONG,8.73x6.26x4.21,67.40,67.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,None,None,EX,VG,None,,Pink,Fancy,,,,,8.73,6.26,4.21,http://image.simgems.com/images/JBPD494A,,"Feather, Crystal, Pinpoint",04/09/2024 12:00:00 AM,0.00,JBPD494A,Y,,0.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6234370864,,HONG KONG,198000.00000,False,,1.395,,A
JBPD507D,PSM,F L Y,VS2,GIA,2235494272,,5.30000,8910.00000,0.00000,HONG KONG,14.41x9.06x5.85,64.50,61.00,0.00,0.00,0.00,0.00,STK,,0.00,Faceted,None,None,EX,VG,None,,Yellow,Fancy Light,,,,,14.41,9.06,5.85,http://image.simgems.com/images/JBPD507D,,Feather,30/01/2025 12:00:00 AM,0.00,JBPD507D,Y,,0.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2235494272,,HONG KONG,0.00000,False,,1.591,,A
JNK38B,CB,K,VS2,GIA,2516148807,,3.10000,4839.12000,-48.52000,HONG KONG,10.78x8.01x4.82,60.10,55.00,0.00,0.00,0.00,0.00,MED to VTK,Medium,0.00,Faceted,None,None,EX,EX,Faint,,,,,,,,10.78,8.01,4.82,,Pinpoints are not shown. Surface graining is not shown.,"Crystal, Feather, Needle",14/01/2025 12:00:00 AM,0.00,,Y,,9400.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2516148807,TIZDAN OFIR,HONG KONG,6110.00000,False,,1.346,,M
SDF02B,OVM,F L Y,VS1,GIA,6237369732,,20.12000,14355.00000,0.00000,HONG KONG,19.93x14.25x9.14,64.10,59.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,None,None,EX,VG,Faint,,Yellow,Fancy Light,,,,,19.93,14.25,9.14,http://image.simgems.com/images/SDF02B,Surface graining is not shown.,"Feather, Pinpoint",27/08/2024 12:00:00 AM,0.00,SDF02B,Y,,0.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6237369732,,HONG KONG,0.00000,False,,1.399,,A
UCL618A,OVB,D,VS1,GIA,2233462129,,20.03000,59202.00000,-35.65000,HONG KONG,20.93x15.20x9.79,64.40,60.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Faceted,None,None,EX,EX,Medium,Blue,,,,,,,20.93,15.20,9.79,http://image.simgems.com/images/UCL618A,Additional clouds are not shown. Pinpoints are not shown.,"Cloud, Feather, Crystal, Needle",18/12/2024 12:00:00 AM,0.00,UCL618A,Y,None,92000.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC1,BT0,EC0,WC1,WT2,NA,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2233462129,,HONG KONG,57000.00000,False,,1.377,,A
VACH4A,RAD,H,SI1,GIA,5231493726,,10.19000,23513.83650,-40.47130,HONG KONG,13.91x11.12x7.35,66.10,65.00,0.00,0.00,0.00,0.00,THK,,0.00,Polished,None,None,EX,EX,None,,,,,,,,13.91,11.12,7.35,,"Additional clouds, pinpoints and internal graining are not shown.","Cloud, Crystal, Needle",28/01/2025 12:00:00 AM,0.00,,Y,,39500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=5231493726,SIM GEMS USA INC,USA,24975.46614,False,,1.251,,M
VISA177B,EM,F,SI2,GIA,2476832168,,3.01000,10281.15000,-33.67000,HONG KONG,9.73x6.99x4.50,64.40,64.00,0.00,0.00,0.00,0.00,STK to VTK,,0.00,Polished,None,None,EX,EX,None,,,,,,,,9.73,6.99,4.50,,,"Feather, Pinpoint",20/10/2023 12:00:00 AM,0.00,,N,,15500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2476832168,SIM GEMS USA INC,USA,15500.00000,False,,1.392,ENT,M
VISA223B,EM,J,VS2,GIA,5231228553,,11.62000,17400.19050,-38.94670,HONG KONG,15.19x10.76x7.17,66.70,66.00,0.00,0.00,0.00,0.00,THK,,0.00,Polished,None,None,EX,EX,None,,,,,,,,15.19,10.76,7.17,,Additional pinpoints are not shown.,"Crystal, Needle, Feather, Pinpoint",19/03/2024 12:00:00 AM,0.00,,Y,,28500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=5231228553,SIM GEMS DMCC,U.A.E,18130.00000,False,,1.412,NFE,M
VISA238A,CB,G,VS2,GIA,1236272432,,8.02000,28546.65000,-21.79000,HONG KONG,14.36x10.40x6.92,66.60,59.00,0.00,0.00,0.00,0.00,STK to VTK,,0.00,Faceted,None,None,EX,VG,Faint,,,,,,,,14.36,10.40,6.92,,Clouds are not shown. Pinpoints are not shown.,"Needle, Crystal, Feather",19/02/2025 12:00:00 AM,0.00,,Y,,36500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1236272432,SIM GEMS USA INC,USA,36500.00000,False,,1.381,,M
VISA278A,EM,F,VVS2,GIA,1236359200,,8.12000,42411.60000,-16.84000,HONG KONG,13.46x9.61x6.31,65.70,66.00,0.00,0.00,0.00,0.00,THK,,0.00,Polished,None,None,EX,EX,None,,,,,,,,13.46,9.61,6.31,http://image.simgems.com/images/VISA278A,,"Pinpoint, Needle",19/02/2025 12:00:00 AM,0.00,VISA278A,Y,,51000.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1236359200,SIM GEMS USA INC,USA,51000.00000,False,,1.401,NFE,M
VISA303A,RD,D,VVS2,GIA,2235383186,,6.50000,43742.16000,-43.19200,HONG KONG,11.84-11.91x7.47,62.90,58.00,34.50,14.50,41.40,44.00,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,None,,,,,,,EX,11.91,11.84,7.47,http://image.simgems.com/images/VISA303A,,Pinpoint,03/09/2024 12:00:00 AM,50.00,VISA303A,Y,,77000.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2235383186,,HONG KONG,77000.00000,False,,1.006,,A
VISA347A,EM,D,VVS1,GIA,5232486102,,5.61000,35833.05000,-43.57000,HONG KONG,11.83x8.41x5.52,65.60,64.00,0.00,0.00,0.00,0.00,STK to VTK,,0.00,Polished,None,None,EX,EX,None,,,,,,,,11.83,8.41,5.52,http://image.simgems.com/images/VISA347A,,Cloud,20/01/2025 12:00:00 AM,0.00,VISA347A,Y,,63500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=5232486102,,HONG KONG,38100.00000,False,,1.407,,A
ROP01-005,RAD,L,VVS2,GIA,6234285904,,5.04000,8019.00000,-40.60000,HONG KONG,11.48x8.73x5.69,65.20,67.00,0.00,0.00,0.00,0.00,STK,,0.00,Polished,None,None,EX,VG,None,,,,,,,,11.48,8.73,5.69,,Additional pinpoints are not shown. Clouds are not shown.,Pinpoint,16/05/2024 12:00:00 AM,0.00,,Y,,13500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6234285904,,HONG KONG,8100.00000,False,,1.315,ENT,A
RSP03,RD,J,VVS1,GIA,7502777599,,4.02000,10712.14650,-48.98978,HONG KONG,10.11-10.16x6.36,62.80,56.00,35.50,15.50,41.00,43.50,MED to THK,Medium,3.50,Faceted,None,None,EX,EX,Faint,,,,,,,EX,10.16,10.11,6.36,http://image.simgems.com/images/RSP03,,"Pinpoint, Feather",08/11/2024 12:00:00 AM,50.00,RSP03,Y,Very Light Brown,21000.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT0,EC0,WC1,WT0,NO,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7502777599,,HONG KONG,21000.00000,False,,1.005,,A
RSP02,RD,K,VS1,GIA,2235432854,,10.19000,16062.75000,-41.59000,HONG KONG,13.93-14.00x8.57,61.40,58.00,33.50,14.00,41.40,44.00,MED to THK,Medium,3.50,Faceted,None,None,EX,EX,Faint,,,,,,,EX,14.00,13.93,8.57,http://image.simgems.com/images/RSP02,,Needle,04/11/2024 12:00:00 AM,50.00,RSP02,Y,,27500.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2235432854,,HONG KONG,18000.00000,False,,1.005,,A
RSP06,PSB,G,IF,GIA,2506775901,,0.60000,1534.00000,-41.00000,HONG KONG,7.58x4.70x2.84,60.50,58.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,None,None,EX,EX,Faint,,,,,,,,7.58,4.70,2.84,,,Minor Details Of Polish,08/11/2024 12:00:00 AM,0.00,,Y,,2600.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2506775901,,HONG KONG,2600.00000,False,,1.613,,A
UCL609A,EM,D,VVS1,GIA,5231431272,,10.04000,59725.71000,-44.44120,HONG KONG,15.34x10.21x6.36,62.30,64.00,0.00,0.00,0.00,0.00,THK,,0.00,Polished,None,None,EX,EX,None,,,,,,,,15.34,10.21,6.36,http://image.simgems.com/images/UCL609A,Clarity grade is based on internal graining that is not shown.,,14/11/2024 12:00:00 AM,0.00,UCL609A,Y,,107500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=5231431272,SIM GEMS USA INC,USA,63500.00000,False,,1.502,,M
VISA324-02,RD,I,VVS1,GIA,2235409468,,4.67000,15958.80000,-38.62000,HONG KONG,10.78-10.82x6.44,59.60,61.00,33.00,12.50,40.80,43.00,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,None,,,,,,,EX,10.82,10.78,6.44,http://image.simgems.com/images/VISA324-02,Clouds are not shown.,"Needle, Feather",08/10/2024 12:00:00 AM,50.00,VISA324-02,Y,,26000.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2235409468,,HONG KONG,26000.00000,False,,1.004,,A
VISA324-12,PSB,I,VS1,GIA,6237409460,,5.82000,16914.15000,-33.67000,HONG KONG,15.84x10.16x6.32,62.20,62.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Faceted,None,None,EX,EX,None,,,,,,,,15.84,10.16,6.32,http://image.simgems.com/images/VISA324-12,Additional pinpoints are not shown.,"Crystal, Feather, Needle, Pinpoint",07/10/2024 12:00:00 AM,0.00,VISA324-12,Y,,25500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6237409460,SIM GEMS USA INC,USA,25500.00000,False,,1.559,,M
VRq08-005,CMB,F I Y,VS2,GIA,5231342809,,6.35000,15345.00000,0.00000,HONG KONG,10.96x9.79x6.79,69.30,64.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,None,None,EX,VG,Faint,,Yellow,Fancy Intense,,,,,10.96,9.79,6.79,,,"Feather, Needle, Pinpoint, Indented Natural, Etch Channel, Natural",15/07/2024 12:00:00 AM,0.00,,Y,,0.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=5231342809,,HONG KONG,15500.00000,False,,1.120,ENT,A
